case_id,mode,group,seed_cluster,cleared_count,source_count,complete,error,exit_reason,average_clear_time_s,total_virtual_time_s,distance_m,requests,clear_failures,program_runtime_s
LOCAL-final-q3-reference_assumed-1015728973,3,reference_assumed,1015728973,13,13,True,,user_exit,235.799699,3065.396087,11516.980426049317,136,8,0.040866457973606884
LOCAL-final-q3-reference_assumed-332451610,3,reference_assumed,332451610,12,12,True,,user_exit,262.90547983333335,3154.865758,12049.328791421724,133,9,0.03646874998230487
LOCAL-final-q3-reference_assumed-469013028,3,reference_assumed,469013028,10,10,True,,user_exit,273.7949084,2737.949084,9934.745421982005,131,3,0.012318624998442829
LOCAL-final-q3-reference_assumed-1493029357,3,reference_assumed,1493029357,11,11,True,,user_exit,245.21228272727274,2697.33511,9751.675551135098,132,6,0.03266100003384054
LOCAL-final-q3-reference_assumed-1273554888,3,reference_assumed,1273554888,13,13,True,,user_exit,211.51816569230772,2749.736154,10358.680769609471,119,3,0.02446629200130701
LOCAL-final-q3-reference_assumed-1170258171,3,reference_assumed,1170258171,13,13,True,,user_exit,220.31211461538462,2864.05749,11015.287454270961,117,3,0.03665620903484523
LOCAL-final-q3-reference_assumed-1449067405,3,reference_assumed,1449067405,14,14,True,,user_exit,194.25494928571428,2719.56929,10032.846444036448,127,6,0.025077249971218407
LOCAL-final-q3-reference_assumed-830379720,3,reference_assumed,830379720,11,11,True,,user_exit,260.40753254545456,2864.482858,10487.414296138919,133,2,0.028938082978129387
LOCAL-final-q3-reference_assumed-651432356,3,reference_assumed,651432356,10,10,True,,user_exit,290.6753095,2906.753095,10498.765473252608,143,9,0.021240583970211446
LOCAL-final-q3-reference_assumed-839760796,3,reference_assumed,839760796,12,12,True,,user_exit,252.084577,3025.014924,11505.074626598835,130,10,0.02990270801819861
LOCAL-final-q3-reference_assumed-609539424,3,reference_assumed,609539424,13,13,True,,user_exit,204.717424,2661.326512,10006.63255582112,117,4,0.03042870806530118
LOCAL-final-q3-reference_assumed-592219885,3,reference_assumed,592219885,10,10,True,,user_exit,264.17014340000003,2641.701434,9523.507157378519,130,6,0.01834108296316117
LOCAL-final-q3-reference_assumed-111580228,3,reference_assumed,111580228,16,16,True,,user_exit,222.185097,3554.961552,14274.80775027856,128,11,0.05044254206586629
LOCAL-final-q3-reference_assumed-2091049286,3,reference_assumed,2091049286,11,11,True,,user_exit,253.75818372727272,2791.340021,10246.700097194604,131,6,0.02754916704725474
LOCAL-final-q3-reference_assumed-386139834,3,reference_assumed,386139834,13,13,True,,user_exit,266.8524333076923,3469.081633,13685.408168558588,131,8,0.02812616608571261
LOCAL-final-q3-reference_assumed-1331042499,3,reference_assumed,1331042499,16,16,True,,user_exit,186.004982625,2976.079722,11490.398608973934,121,6,0.04430525004863739
LOCAL-final-q3-reference_assumed-664088901,3,reference_assumed,664088901,14,14,True,,user_exit,225.2118152142857,3152.965413,12424.827052965782,117,2,0.026258207974024117
LOCAL-final-q3-reference_assumed-452356889,3,reference_assumed,452356889,12,12,True,,user_exit,274.44574274999997,3293.348913,12356.744557311702,147,10,0.03945945797022432
LOCAL-final-q3-reference_assumed-216561149,3,reference_assumed,216561149,16,16,True,,user_exit,191.3534340625,3061.654945,11603.274736009449,131,4,0.036464457982219756
LOCAL-final-q3-reference_assumed-1241886667,3,reference_assumed,1241886667,11,11,True,,user_exit,259.6769738181818,2856.446712,10587.233565819439,129,3,0.03876783302985132
LOCAL-final-q3-reference_assumed-1425472630,3,reference_assumed,1425472630,15,15,True,,user_exit,189.92407426666665,2848.861114,10754.305559331475,124,6,0.028566583059728146
LOCAL-final-q3-reference_assumed-741135766,3,reference_assumed,741135766,12,12,True,,user_exit,250.91994,3011.03928,11305.196403488051,134,9,0.02968254196457565
LOCAL-final-q3-reference_assumed-1912954398,3,reference_assumed,1912954398,12,12,True,,user_exit,247.19389675,2966.326761,11181.633810551326,128,4,0.024006374995224178
LOCAL-final-q3-reference_assumed-1660585880,3,reference_assumed,1660585880,15,15,True,,user_exit,203.6793036,3055.189554,11900.947772843156,121,7,0.03812725003808737
LOCAL-final-q3-reference_assumed-184337646,3,reference_assumed,184337646,10,10,True,,user_exit,298.4861346,2984.861346,11159.306713423539,135,10,0.01758175005670637
LOCAL-final-q3-reference_assumed-1864677274,3,reference_assumed,1864677274,15,15,True,,user_exit,201.54352453333334,3023.152868,11790.764340002805,119,6,0.024242207990027964
LOCAL-final-q3-reference_assumed-901350543,3,reference_assumed,901350543,14,14,True,,user_exit,239.62945907142856,3354.812427,13124.062131617547,128,3,0.036344500025734305
LOCAL-final-q3-reference_assumed-2065443913,3,reference_assumed,2065443913,11,11,True,,user_exit,292.6708071818182,3219.378879,12071.894383369096,141,4,0.03496312501374632
LOCAL-final-q3-reference_assumed-107132760,3,reference_assumed,107132760,10,10,True,,user_exit,288.4012021,2884.012021,10765.060112432937,128,4,0.017458166927099228
LOCAL-final-q3-reference_assumed-1286352824,3,reference_assumed,1286352824,13,13,True,,user_exit,241.88519300000002,3144.507509,11942.537530754273,133,4,0.0330962089356035
LOCAL-final-q3-reference_assumed-1181757361,3,reference_assumed,1181757361,16,16,True,,user_exit,204.170547625,3266.728762,12878.643808328365,124,6,0.044771708897314966
LOCAL-final-q3-reference_assumed-1892892112,3,reference_assumed,1892892112,13,13,True,,user_exit,231.22739661538463,3005.956156,11229.780780621119,134,5,0.03342258301563561
LOCAL-final-q3-reference_assumed-1503173587,3,reference_assumed,1503173587,12,12,True,,user_exit,245.50112549999997,2946.013506,11030.067523148697,132,8,0.02665070805232972
LOCAL-final-q3-reference_assumed-652370379,3,reference_assumed,652370379,11,11,True,,user_exit,275.851117,3034.362287,11256.811441917323,140,10,0.034592000069096684
LOCAL-final-q3-reference_assumed-437280008,3,reference_assumed,437280008,12,12,True,,user_exit,264.77721916666667,3177.32663,12361.633147297098,123,2,0.03768533293623477
LOCAL-final-q3-reference_assumed-313632295,3,reference_assumed,313632295,13,13,True,,user_exit,214.43292346153845,2787.628005,10193.140035382004,134,8,0.020753249991685152
LOCAL-final-q3-reference_assumed-172270328,3,reference_assumed,172270328,16,16,True,,user_exit,206.5751764375,3305.202823,13106.01412138,122,6,0.0530079590389505
LOCAL-final-q3-reference_assumed-1232184224,3,reference_assumed,1232184224,15,15,True,,user_exit,202.55263473333335,3038.289521,10941.447604932833,153,12,0.04302341700531542
LOCAL-final-q3-reference_assumed-304852580,3,reference_assumed,304852580,10,10,True,,user_exit,248.12797310000002,2481.279731,8776.398645001977,128,5,0.02081170806195587
LOCAL-final-q3-reference_assumed-479631008,3,reference_assumed,479631008,15,15,True,,user_exit,215.4134516,3231.201774,12651.008867644317,124,4,0.029689167044125497
LOCAL-final-q3-fixed_positive_bias-542637487,3,fixed_positive_bias,542637487,15,15,True,,user_exit,187.93046746666667,2818.957012,10379.7850503425,131,4,0.0411813750397414
LOCAL-final-q3-fixed_positive_bias-379721249,3,fixed_positive_bias,379721249,14,14,True,,user_exit,221.41643735714288,3099.830123,11874.150621892572,128,4,0.0229891249909997
LOCAL-final-q3-fixed_positive_bias-138718803,3,fixed_positive_bias,138718803,13,13,True,,user_exit,254.8759796153846,3313.387735,12841.938676417012,136,14,0.03513129195198417
LOCAL-final-q3-fixed_positive_bias-706083910,3,fixed_positive_bias,706083910,15,15,True,,user_exit,208.3628634,3125.442951,11947.214744626599,131,7,0.03548145794775337
LOCAL-final-q3-fixed_positive_bias-1589673444,3,fixed_positive_bias,1589673444,12,12,True,,user_exit,252.3761955,3028.514346,11172.571739943449,142,10,0.03790662495885044
LOCAL-final-q3-fixed_positive_bias-1318552240,3,fixed_positive_bias,1318552240,10,10,True,,user_exit,275.5022558,2755.022558,9860.112804630096,140,10,0.037180750048719347
LOCAL-final-q3-fixed_positive_bias-1920603491,3,fixed_positive_bias,1920603491,15,15,True,,user_exit,192.68384666666668,2890.2577,10801.288508921387,129,4,0.0192986250622198
LOCAL-final-q3-fixed_positive_bias-660545497,3,fixed_positive_bias,660545497,12,12,True,,user_exit,255.71542291666665,3068.585075,11597.925377969244,132,6,0.027543417061679065
LOCAL-final-q3-fixed_positive_bias-585073781,3,fixed_positive_bias,585073781,11,11,True,,user_exit,253.67390463636363,2790.412951,10247.06475311443,130,4,0.03345441701821983
LOCAL-final-q3-fixed_positive_bias-1409103709,3,fixed_positive_bias,1409103709,11,11,True,,user_exit,260.9679278181818,2870.647206,10628.236029912532,131,4,0.027683999971486628
LOCAL-final-q3-fixed_positive_bias-1472757889,3,fixed_positive_bias,1472757889,10,10,True,,user_exit,305.6031233,3056.031233,11390.156152356662,137,6,0.02498654101509601
LOCAL-final-q3-fixed_positive_bias-1822718464,3,fixed_positive_bias,1822718464,13,13,True,,user_exit,265.577852,3452.512076,13362.56039004482,139,8,0.030012415954843163
LOCAL-final-q3-fixed_positive_bias-1345464915,3,fixed_positive_bias,1345464915,15,15,True,,user_exit,226.2421276,3393.631914,13303.15955348583,134,13,0.04214208398479968
LOCAL-final-q3-fixed_positive_bias-1296697544,3,fixed_positive_bias,1296697544,12,12,True,,user_exit,246.73684416666666,2960.84213,11164.210646009824,132,12,0.03589166689198464
LOCAL-final-q3-fixed_positive_bias-1324213427,3,fixed_positive_bias,1324213427,12,12,True,,user_exit,257.41264125000004,3088.951695,11579.758474975211,138,8,0.04026520799379796
LOCAL-final-q3-fixed_positive_bias-596427591,3,fixed_positive_bias,596427591,13,13,True,,user_exit,209.65679892307693,2725.538386,10007.691934530198,128,5,0.03366166690830141
LOCAL-final-q3-fixed_positive_bias-542945113,3,fixed_positive_bias,542945113,11,11,True,,user_exit,246.2174360909091,2708.391797,9601.958985788477,139,7,0.026577083976007998
LOCAL-final-q3-fixed_positive_bias-767893562,3,fixed_positive_bias,767893562,10,10,True,,user_exit,301.0822018,3010.822018,11124.1100883153,142,14,0.034187916899099946
LOCAL-final-q3-fixed_positive_bias-1077061507,3,fixed_positive_bias,1077061507,12,12,True,,user_exit,247.075966,2964.911592,11044.557957471807,134,7,0.0397132090292871
LOCAL-final-q3-fixed_positive_bias-497013704,3,fixed_positive_bias,497013704,16,16,True,,user_exit,209.0472675625,3344.756281,12958.781409433373,135,7,0.029672584030777216
LOCAL-final-q3-fixed_positive_bias-1740675741,3,fixed_positive_bias,1740675741,12,12,True,,user_exit,263.83774475,3166.052937,12050.264683684074,134,6,0.031185084022581577
LOCAL-final-q3-fixed_positive_bias-1274393902,3,fixed_positive_bias,1274393902,12,12,True,,user_exit,246.61674983333333,2959.400998,10862.004981623191,138,5,0.029351625009439886
